codigo;razao_10mais_40menos_2000;razao_20mais_40menos_2000;indigentes_2000;pobres_2000;idhm_renda_2003;idhm_edu_2003
2906204;28,381;19,274;54,289;75,367;0,52;0,761
2906303;23,735;14,95;41,713;74,743;0,573;0,718
2906402;15,714;11,52;59,666;85,805;0,487;0,714
2906501;19,558;13,546;32,716;56,014;0,608;0,866
2906600;22,073;15,751;59,085;81,867;0,495;0,706
2906709;18,331;12,032;41,564;67,683;0,559;0,71
2906808;58,454;38,691;75,696;91,471;0,446;0,646
2906824;18,153;13,035;52,687;79,326;0,494;0,715
2906857;16,303;11,312;47,929;76,429;0,549;0,681
2906873;21,038;14,255;44,785;74,058;0,551;0,725
2906899;23,91;15,934;59,268;85,706;0,492;0,652
2906907;48,805;27,674;38,987;72,49;0,644;0,731
2907004;23,893;16,24;64,393;87,467;0,482;0,727
2907103;25,025;17,161;64,535;87,22;0,469;0,701
2907202;19,573;13,356;47,372;77,51;0,522;0,699
2907301;24,667;16,658;61,194;82,697;0,504;0,723
2907400;17,603;15,011;59,149;83,432;0,482;0,717
2907509;24,672;17,515;37,936;62,573;0,598;0,87
2907558;18,409;13,729;63,626;88,152;0,467;0,7
2907608;30,356;20,218;57,295;84,038;0,51;0,748
2907707;60,023;39,429;69,834;88,198;0,478;0,732
2907806;19,783;13,02;49,553;80,493;0,546;0,654
2907905;20,438;14,002;49,636;76,885;0,544;0,695
2908002;22,37;14,555;49,087;80,539;0,54;0,735
2908101;45,191;31,002;59,925;82,777;0,51;0,664
2908200;15,22;10,742;43,527;73,931;0,536;0,818
2908309;14,395;9,8;39,86;74,317;0,533;0,733
2908408;19,22;12,88;48,347;78,717;0,533;0,747
2908507;17,623;11,85;29,873;63,515;0,598;0,817
2908606;26,108;18,908;62,579;81,865;0,502;0,653
2908705;35,716;22,431;55,525;78,452;0,553;0,66
2908804;16,246;11,014;45,093;76,738;0,537;0,716
2908903;18,721;12,577;55,216;83,059;0,529;0,749
2909000;12,674;9,468;51,728;79,772;0,513;0,662
2909109;49,012;35,308;73,792;88,375;0,444;0,72
2909208;21,764;15,511;65,564;88,318;0,447;0,521
2909307;35,179;23,579;56,862;80,111;0,525;0,732
2909406;16,294;11,339;58,711;85,998;0,497;0,677
2909505;18,801;13;55,786;83,029;0,499;0,73
2909604;15,515;11,098;58,66;84,483;0,505;0,61
2909703;18,225;12,616;53,454;84,087;0,495;0,704
2909802;20,045;12,811;27,388;58,402;0,619;0,844
2909901;21,686;14,403;49,959;77,541;0,533;0,732
2910008;13,793;9,692;66,751;90,377;0,442;0,616
2910057;20,086;13,977;31,392;54,368;0,606;0,875
2910107;12,828;9,782;46,281;75,35;0,525;0,722
2910206;13,44;9,412;47,357;78,853;0,524;0,75
