cod_mun;cod_escola;zona;esfera;horas_aula_9ano_2019
1200203;12001260;Urbana;Estadual;4,3
1200203;12001279;Urbana;Estadual;4,3
1200203;12001333;Urbana;Estadual;4,3
1200203;12001341;Rural;Municipal;4,3
1200203;12001392;Urbana;Municipal;4,3
1200203;12001422;Rural;Estadual;4,3
1200203;12001457;Urbana;Estadual;4,2
1200203;12001554;Rural;Estadual;4,3
1200203;12001627;Rural;Estadual;4,3
1200203;12001686;Urbana;Privada;4,4
1200203;12021962;Urbana;Estadual;4,3
1200203;12027286;Rural;Municipal;4,3
1200203;12027901;Urbana;Municipal;4,3
1200203;12029718;Rural;Estadual;4,3
1200203;12033537;Urbana;Estadual;4,3
1200203;12097225;Rural;Estadual;4,3
1200252;12017060;Rural;Estadual;4,3
1200252;12017094;Urbana;Estadual;4,3
1200252;12017108;Urbana;Estadual;4,3
1200302;12003930;Urbana;Estadual;4,3
1200302;12004170;Urbana;Estadual;4,3
1200302;12004596;Rural;Estadual;4,3
1200302;12005037;Urbana;Estadual;4,3
1200302;12022586;Rural;Municipal;4,3
1200302;12022608;Rural;Municipal;4,3
1200302;12027251;Rural;Municipal;4,3
1200302;12027596;Rural;Municipal;4,3
1200302;12068233;Rural;Municipal;4,3
1200328;12005126;Urbana;Municipal;6,2
1200328;12030155;Urbana;Estadual;4,3
1200336;12001791;Urbana;Estadual;4,3
1200336;12001805;Rural;Estadual;4,3
1200336;12001821;Rural;Estadual;4,3
1200336;12001945;Urbana;Estadual;4,3
1200336;12001961;Urbana;Estadual;4,3
1200336;12002046;Urbana;Estadual;4,3
1200336;12002275;Rural;Estadual;4,3
1200344;12006920;Urbana;Estadual;4,3
1200351;12002410;Rural;Municipal;4,3
1200351;12002461;Rural;Municipal;4,3
1200351;12002585;Rural;Municipal;4,3
1200351;12002674;Rural;Municipal;4,3
1200351;12002763;Rural;Municipal;4,3
1200351;12002771;Urbana;Municipal;4,3
1200351;12002828;Rural;Municipal;4,3
1200351;12002887;Rural;Municipal;4,3
1200351;12002909;Rural;Municipal;4,3
1200351;12002925;Rural;Municipal;4,3
1200351;12002950;Rural;Municipal;4,3
1200351;12018902;Rural;Municipal;4,3
1200351;12021130;Rural;Municipal;4,3
1200351;12021792;Rural;Municipal;4,3
1200351;12023000;Rural;Municipal;4,3
1200351;12023027;Rural;Municipal;4,3
1200351;12026310;Rural;Municipal;4,3
1200351;12026387;Rural;Municipal;4,3
1200351;12027081;Rural;Municipal;4,3
1200351;12027634;Rural;Municipal;3,8
1200351;12032816;Rural;Municipal;4,3
1200385;12010189;Urbana;Estadual;4,3
1200385;12010340;Urbana;Municipal;4,3
1200385;12010588;Rural;Estadual;4,3
1200385;12010626;Rural;Municipal;4,3
1200385;12010731;Rural;Estadual;4,3
1200385;12019135;Urbana;Estadual;4,3
1200385;12023760;Rural;Municipal;4,3
1200393;12002984;Rural;Municipal;4,3
1200393;12003000;Rural;Municipal;4,3
1200393;12003034;Rural;Estadual;4,3
1200393;12003050;Urbana;Estadual;4,3
1200393;12003077;Rural;Municipal;4,3
1200393;12003166;Rural;Municipal;4,3
1200393;12003190;Rural;Municipal;4,3
1200393;12003239;Rural;Municipal;4,3
1200393;12003263;Rural;Estadual;4,3
1200393;12003360;Rural;Municipal;4,3
1200393;12003506;Rural;Municipal;4,3
1200393;12003522;Rural;Municipal;4,3
1200393;12021539;Rural;Municipal;4,3
1200393;12027103;Rural;Estadual;4,3
1200393;12027111;Rural;Estadual;4,3
1200393;12062227;Rural;Estadual;4,3
1200401;12010910;Urbana;Privada;4,5
1200401;12010928;Urbana;Privada;5,3
1200401;12010936;Urbana;Privada;4,5
1200401;12011070;Rural;Estadual;4,3
1200401;12011142;Urbana;Estadual;4,3
1200401;12011150;Rural;Estadual;4,3
1200401;12011320;Rural;Estadual;4,6
1200401;12011401;Urbana;Estadual;4,3
1200401;12011410;Urbana;Federal;4,3
1200401;12011428;Urbana;Estadual;4,3
1200401;12011517;Urbana;Estadual;4,3
1200401;12011550;Urbana;Estadual;4,3
1200401;12011584;Urbana;Estadual;4,3
1200401;12011665;Urbana;Estadual;4,3
1200401;12011703;Urbana;Estadual;4,3
1200401;12011860;Urbana;Estadual;4,3
1200401;12011932;Urbana;Estadual;4,3
1200401;12012025;Urbana;Estadual;4
1200401;12012041;Urbana;Estadual;4,3
1200401;12012050;Urbana;Estadual;4,3
1200401;12012076;Urbana;Estadual;4,3
1200401;12012106;Urbana;Estadual;4,3
1200401;12012130;Urbana;Estadual;4,3
1200401;12012360;Rural;Estadual;4,3
1200401;12012416;Rural;Estadual;4,3
1200401;12012564;Urbana;Estadual;5,3
1200401;12012750;Urbana;Estadual;4,3
1200401;12012823;Rural;Estadual;4,5
1200401;12012904;Urbana;Privada;5,3
1200401;12013013;Urbana;Estadual;4,8
1200401;12013161;Rural;Estadual;4,3
1200401;12013242;Urbana;Estadual;4,3
1200401;12013293;Urbana;Estadual;4,3
1200401;12013340;Urbana;Estadual;5,3
1200401;12013358;Urbana;Privada;4,8
1200401;12013374;Urbana;Estadual;4,3
1200401;12013404;Urbana;Estadual;4,3
1200401;12013471;Urbana;Estadual;4,3
1200401;12013510;Rural;Estadual;4,5
1200401;12013579;Rural;Estadual;4,3
1200401;12013595;Rural;Estadual;4,3
1200401;12013633;Rural;Estadual;4,3
1200401;12013684;Rural;Estadual;4
1200401;12013889;Urbana;Estadual;4,3
1200401;12014001;Rural;Estadual;4,3
1200401;12014052;Urbana;Estadual;4,3
1200401;12014060;Urbana;Estadual;4,3
1200401;12014370;Urbana;Privada;4,3
1200401;12014389;Urbana;Estadual;4,4
1200401;12019054;Urbana;Privada;4,4
1200401;12020192;Rural;Estadual;4,3
1200401;12021245;Rural;Estadual;4,5
1200401;12021717;Urbana;Estadual;4
1200401;12022969;Urbana;Privada;4,3
1200401;12026530;Urbana;Privada;5,3
1200401;12027359;Urbana;Estadual;4,5
1200401;12028754;Rural;Estadual;4,3
1200401;12028835;Urbana;Privada;6,2
1200401;12029491;Urbana;Estadual;4,3
1200401;12030562;Urbana;Estadual;3,8
1200401;12031682;Urbana;Privada;5,3
1200401;12032115;Urbana;Estadual;4,3
1200401;12032468;Urbana;Estadual;4,3
1200401;12032859;Urbana;Privada;5,2
1200401;12033359;Urbana;Estadual;4,3
1200401;12033367;Urbana;Estadual;5,1
1200401;12033545;Urbana;Privada;5,3
1200401;12044636;Urbana;Estadual;4,3
1200401;12049220;Urbana;Estadual;4,3
1200401;12091251;Urbana;Estadual;4,3
1200427;12003590;Urbana;Estadual;4,3
1200427;12003638;Rural;Estadual;4,3
1200427;12003760;Rural;Estadual;4,3
1200427;12003867;Rural;Estadual;4
1200427;12022004;Urbana;Estadual;4,3
1200427;12028479;Rural;Estadual;4,3
1200435;12007021;Urbana;Municipal;4,4
1200450;12009997;Rural;Estadual;4,3
1200450;12014532;Urbana;Municipal;4,3
1200450;12014591;Urbana;Estadual;4,3
1200450;12014605;Urbana;Estadual;4,3
1200450;12014788;Urbana;Privada;4,4
1200450;12014877;Rural;Estadual;4,3
1200450;12014915;Rural;Estadual;4,3
1200450;12015008;Rural;Estadual;4,3
1200450;12015172;Rural;Estadual;4,3
1200500;12007412;Urbana;Estadual;4,3
1200500;12007625;Urbana;Estadual;4,3
1200500;12007757;Urbana;Estadual;4,3
1200500;12008176;Rural;Municipal;4,3
1200500;12008303;Rural;Municipal;4,3
1200500;12008389;Urbana;Estadual;4,3
1200500;12025836;Rural;Estadual;4,3
1200500;12025941;Rural;Municipal;4,3
1200500;12032107;Rural;Municipal;4,3
1200609;12005401;Rural;Municipal;4,3
1200609;12005550;Rural;Estadual;4,3
1200609;12005681;Urbana;Estadual;4,3
