municipio;pib_2020
Buriticupu (MA);548058,14
Buritirana (MA);96203,39
Cachoeira Grande (MA);56014,99
Cajapió (MA);59647,88
Cajari (MA);109598,85
Campestre do Maranhão (MA);197617,34
Cândido Mendes (MA);135847,25
Cantanhede (MA);130784,21
Capinzal do Norte (MA);166015,88
Carolina (MA);353287,7
Carutapera (MA);166809,05
Caxias (MA);1814298,62
Cedral (MA);68865,21
Central do Maranhão (MA);46964,21
Centro do Guilherme (MA);86298,52
Centro Novo do Maranhão (MA);138160,56
Chapadinha (MA);738027,49
Cidelândia (MA);145017,72
Codó (MA);1035102,02
Coelho Neto (MA);363804,61
Colinas (MA);403959,59
Conceição do Lago-Açu (MA);123274,08
Coroatá (MA);444376,22
Cururupu (MA);230658,61
Davinópolis (MA);436086,22
Dom Pedro (MA);235257,72
Duque Bacelar (MA);75989,18
Esperantinópolis (MA);143635,38
Estreito (MA);942259,66
Feira Nova do Maranhão (MA);81561,61
Fernando Falcão (MA);69038,85
Formosa da Serra Negra (MA);145681,68
Fortaleza dos Nogueiras (MA);160698,75
Fortuna (MA);111195,29
Godofredo Viana (MA);408811,6
Gonçalves Dias (MA);127273,28
Governador Archer (MA);68147,95
Governador Edison Lobão (MA);266117,33
Governador Eugênio Barros (MA);102723,99
Governador Luiz Rocha (MA);52836,33
Governador Newton Bello (MA);67181,38
Governador Nunes Freire (MA);220741,1
Graça Aranha (MA);41108,93
Grajaú (MA);740104,89
Guimarães (MA);82736,28
Humberto de Campos (MA);161604,34
Icatu (MA);162343,32
Igarapé do Meio (MA);198011,63
Igarapé Grande (MA);93441,42
Imperatriz (MA);7458048,21
Itaipava do Grajaú (MA);87607,25
Itapecuru Mirim (MA);553391,26
Itinga do Maranhão (MA);328526,38
Jatobá (MA);66882,89
Jenipapo dos Vieiras (MA);97772,63
João Lisboa (MA);214359,28
Joselândia (MA);85329,7
Junco do Maranhão (MA);43618,97
Lago da Pedra (MA);415035,62
Lago do Junco (MA);70237
Lago Verde (MA);116801,8
Lagoa do Mato (MA);74415,82
Lago dos Rodrigues (MA);74902,58
Lagoa Grande do Maranhão (MA);77199,55
Lajeado Novo (MA);74055,33
Lima Campos (MA);148288,64
Loreto (MA);193591,33
Luís Domingues (MA);46196,5
Magalhães de Almeida (MA);118413,91
Maracaçumé (MA);172340,33
Marajá do Sena (MA);61165,18
Maranhãozinho (MA);102470,66
Mata Roma (MA);145593,63
Matinha (MA);165707,91
Matões (MA);194797,21
Matões do Norte (MA);75065,28
Milagres do Maranhão (MA);49939,07
Mirador (MA);181429,99
Miranda do Norte (MA);482234,56
Mirinzal (MA);95253,08
Monção (MA);234780,39
Montes Altos (MA);62892,26
Morros (MA);135316,4
Nina Rodrigues (MA);77043,07
Nova Colinas (MA);56684,95
Nova Iorque (MA);38421,45
Nova Olinda do Maranhão (MA);141322,64
Olho d'Água das Cunhãs (MA);148789,62
Olinda Nova do Maranhão (MA);89151,93
Paço do Lumiar (MA);992331,47
Palmeirândia (MA);125226,52
Paraibano (MA);165569,62
Parnarama (MA);235574,59
Passagem Franca (MA);154387,5
Pastos Bons (MA);198419,94
Paulino Neves (MA);104790,94
Paulo Ramos (MA);162575,49
Pedreiras (MA);583302,38
Pedro do Rosário (MA);146944,73
Penalva (MA);217378,95
Peri Mirim (MA);77551,85
Peritoró (MA);203358,03
Pindaré-Mirim (MA);270134,55
Pinheiro (MA);896948,04
Pio XII (MA);141080,61
Pirapemas (MA);116213,63
Poção de Pedras (MA);152659,5
Porto Franco (MA);517823,1
Porto Rico do Maranhão (MA);44684,56
Presidente Dutra (MA);585585,03
Presidente Juscelino (MA);82197,03
Presidente Médici (MA);48279
Presidente Sarney (MA);129161,47
Presidente Vargas (MA);68627,04
Primeira Cruz (MA);71617,83
Raposa (MA);250623,94
Riachão (MA);335435,74
Ribamar Fiquene (MA);94325,72
Rosário (MA);371815,87
Sambaíba (MA);187254,47
Santa Filomena do Maranhão (MA);51152,95
Santa Helena (MA);269185,07
Santa Inês (MA);1245837,38
Santa Luzia (MA);562325,24
Santa Luzia do Paruá (MA);209953,18
Santa Quitéria do Maranhão (MA);183337,41
Santa Rita (MA);281370,71
Santana do Maranhão (MA);66994,24
Santo Amaro do Maranhão (MA);79028,03
Santo Antônio dos Lopes (MA);1864780,97
São Benedito do Rio Preto (MA);126522,25
São Bento (MA);271177,21
São Bernardo (MA);283893,19
São Domingos do Azeitão (MA);174263,8
São Domingos do Maranhão (MA);291706,58
São Félix de Balsas (MA);44479,37
São Francisco do Brejão (MA);99642,95
São Francisco do Maranhão (MA);76223,16
São João Batista (MA);123148,65
São João do Carú (MA);93763,15
São João do Paraíso (MA);120394,74
São João do Soter (MA);109227,99
São João dos Patos (MA);273652,76
São José de Ribamar (MA);2133552,54
São José dos Basílios (MA);53447,41
São Luís (MA);32103746,49
São Luís Gonzaga do Maranhão (MA);139803,33
São Mateus do Maranhão (MA);321773,76
São Pedro da Água Branca (MA);106766,79
São Pedro dos Crentes (MA);53115,34
São Raimundo das Mangabeiras (MA);514141,85
São Raimundo do Doca Bezerra (MA);36194,16
São Roberto (MA);40975,14
São Vicente Ferrer (MA);132458,45
Satubinha (MA);77914,65
Senador Alexandre Costa (MA);88853,2
Senador La Rocque (MA);146337,58
Serrano do Maranhão (MA);53572,77
Sítio Novo (MA);167624,4
Sucupira do Norte (MA);79726,8
Sucupira do Riachão (MA);41392,81
Tasso Fragoso (MA);1207259,2
Timbiras (MA);170569,56
Timon (MA);1899056,83
Trizidela do Vale (MA);332775,5
Tufilândia (MA);49422,87
Tuntum (MA);325230,76
Turiaçu (MA);241082,6
Turilândia (MA);162577,3
Tutóia (MA);414405,41
Urbano Santos (MA);196547,62
Vargem Grande (MA);343226,96
Viana (MA);406698,79
Vila Nova dos Martírios (MA);117705,34
Vitória do Mearim (MA);244006,21
Vitorino Freire (MA);253531,91
Zé Doca (MA);442966,45
Acauã (PI);55368,98
Agricolândia (PI);40855,19
Água Branca (PI);216571,97
Alagoinha do Piauí (PI);59024,6
Alegrete do Piauí (PI);42274,57
Alto Longá (PI);107804,45
Altos (PI);455637,36
Alvorada do Gurguéia (PI);62525,01
Amarante (PI);155944,01
Angical do Piauí (PI);68824,53
Anísio de Abreu (PI);82141,64
Antônio Almeida (PI);86389,4
Aroazes (PI);49863,11
Aroeiras do Itaim (PI);22512,09
Arraial (PI);39454,39
Assunção do Piauí (PI);55546,23
Avelino Lopes (PI);84075,89
Baixa Grande do Ribeiro (PI);863677,55
Barra D'Alcântara (PI);36898,21
Barras (PI);439801,18
Barreiras do Piauí (PI);29045,17
Barro Duro (PI);77109,67
Batalha (PI);207609,1
Bela Vista do Piauí (PI);38435,88
Belém do Piauí (PI);33481,21
Beneditinos (PI);82503,77
Bertolínia (PI);61091,23
Betânia do Piauí (PI);52478,68
Boa Hora (PI);53717,76
Bocaina (PI);46794,68
Bom Jesus (PI);839542,8
Bom Princípio do Piauí (PI);52788,49
Bonfim do Piauí (PI);44072,31
Boqueirão do Piauí (PI);46612,46
Brasileira (PI);58931,99
Brejo do Piauí (PI);35021,12
Buriti dos Lopes (PI);183603,71
Buriti dos Montes (PI);61799,39
Cabeceiras do Piauí (PI);71822,9
Cajazeiras do Piauí (PI);27964,18
Cajueiro da Praia (PI);92579,01
Caldeirão Grande do Piauí (PI);86666,66
Campinas do Piauí (PI);46997,08
Campo Alegre do Fidalgo (PI);42294,17
Campo Grande do Piauí (PI);52685,91
Campo Largo do Piauí (PI);49110,22
Campo Maior (PI);634683,49
Canavieira (PI);34535,41
Canto do Buriti (PI);234604,64
Capitão de Campos (PI);93963,33
Capitão Gervásio Oliveira (PI);34817,2
Caracol (PI);85092,11
Caraúbas do Piauí (PI);44683,19
Caridade do Piauí (PI);41562,58
Castelo do Piauí (PI);178487,36
Caxingó (PI);47556,37
Cocal (PI);235395,07
Cocal de Telha (PI);42150,91
Cocal dos Alves (PI);51317,05
Coivaras (PI);33894,68
Colônia do Gurguéia (PI);60812,64
Colônia do Piauí (PI);58011,02
Conceição do Canindé (PI);50831,65
Coronel José Dias (PI);39142,05
Corrente (PI);450606,42
Cristalândia do Piauí (PI);64999,34
Cristino Castro (PI);111084,12
Curimatá (PI);111066,63
Currais (PI);199839,79
Curralinhos (PI);31609,07
Curral Novo do Piauí (PI);58693,68
Demerval Lobão (PI);188867,35
Dirceu Arcoverde (PI);56210,9
Dom Expedito Lopes (PI);77405,12
Domingos Mourão (PI);35663,79
Dom Inocêncio (PI);66044,49
Elesbão Veloso (PI);151185,79
Eliseu Martins (PI);50288,29
Esperantina (PI);407656,29
Fartura do Piauí (PI);32922,86
Flores do Piauí (PI);40119,39
Floresta do Piauí (PI);22071,75
Floriano (PI);1199503,27
Francinópolis (PI);39861,46
Francisco Ayres (PI);38440,69
Francisco Macedo (PI);32225,55
Francisco Santos (PI);77430,61
Fronteiras (PI);111442,76
Geminiano (PI);49986,8
Gilbués (PI);258571,34
Guadalupe (PI);584566,73
Guaribas (PI);34918,43
Hugo Napoleão (PI);30136,33
Ilha Grande (PI);76277,86
Inhuma (PI);142382,82
Ipiranga do Piauí (PI);75396,13
Isaías Coelho (PI);67313,34
Itainópolis (PI);98098,12
Itaueira (PI);116899,71
Jacobina do Piauí (PI);53041,96
Jaicós (PI);176413,72
Jardim do Mulato (PI);31387,02
Jatobá do Piauí (PI);45065,44
Jerumenha (PI);51141,4
João Costa (PI);55152,65
Joaquim Pires (PI);104269,76
Joca Marques (PI);41370,28
José de Freitas (PI);370021,6
Juazeiro do Piauí (PI);49555,56
Júlio Borges (PI);61630,99
Jurema (PI);40852,96
Lagoinha do Piauí (PI);24727,45
Lagoa Alegre (PI);67078,22
Lagoa do Barro do Piauí (PI);445805,83
Lagoa de São Francisco (PI);50405,64
Lagoa do Piauí (PI);54514,48
Lagoa do Sítio (PI);43382,07
Landri Sales (PI);77153,73
Luís Correia (PI);313290,79
Luzilândia (PI);216792,83
Madeiro (PI);56014,45
Manoel Emídio (PI);51079,95
Marcolândia (PI);87655,36
Marcos Parente (PI);45052,04
Massapê do Piauí (PI);45850,58
Matias Olímpio (PI);82344,66
Miguel Alves (PI);260546,08
Miguel Leão (PI);16910,83
Milton Brandão (PI);50158,54
Monsenhor Gil (PI);92216,7
Monsenhor Hipólito (PI);66696,98
Monte Alegre do Piauí (PI);169006,76
Morro Cabeça no Tempo (PI);33366,68
Morro do Chapéu do Piauí (PI);52392,36
Murici dos Portelas (PI);66625,24
Nazaré do Piauí (PI);60186,94
Nazária (PI);84336,66
Nossa Senhora de Nazaré (PI);39844,83
Nossa Senhora dos Remédios (PI);71147,3
Novo Oriente do Piauí (PI);50110,52
Novo Santo Antônio (PI);25621,87
Oeiras (PI);482301,22
Olho D'Água do Piauí (PI);23588,05
Padre Marcos (PI);62669,54
Paes Landim (PI);39703,72
Pajeú do Piauí (PI);38752,47
Palmeira do Piauí (PI);88534,36
Palmeirais (PI);115634,28
Paquetá (PI);35493,41
Parnaguá (PI);96321,35
Parnaíba (PI);2627297,09
Passagem Franca do Piauí (PI);38291,16
Patos do Piauí (PI);52649,57
Pau D'Arco do Piauí (PI);29490,75
Paulistana (PI);221602,46
Pavussu (PI);31008,3
Pedro II (PI);343967,09
Pedro Laurentino (PI);24454,9
Nova Santa Rita (PI);39102,25
Picos (PI);1668947,55
Pimenteiras (PI);98192,46
Pio IX (PI);182120,01
Piracuruca (PI);314452,31
Piripiri (PI);775561,13
Porto (PI);93231,64
Porto Alegre do Piauí (PI);25131,85
Prata do Piauí (PI);25170,71
Queimada Nova (PI);88819,33
Redenção do Gurguéia (PI);79292,17
Regeneração (PI);175767,5
Riacho Frio (PI);40543,55
Ribeira do Piauí (PI);226952,04
Ribeiro Gonçalves (PI);317395,27
Rio Grande do Piauí (PI);53995,16
Santa Cruz do Piauí (PI);56444,91
Santa Cruz dos Milagres (PI);37303,69
Santa Filomena (PI);314244,35
Santa Luz (PI);53329,4
Santana do Piauí (PI);36057,29
