municipio;esfera;rend_medio_bruto_2018
Cachoeira Grande;Municipal;
Cajapió;Municipal;
Cajari;Municipal;
Campestre do Maranhão;Municipal;2356,2
Cândido Mendes;Municipal;
Cantanhede;Municipal;5644,233
Capinzal do Norte;Municipal;
Carolina;Municipal;2085,016
Carutapera;Municipal;3660,624
Caxias;Municipal;1594,093
Cedral;Municipal;4405,447
Central do Maranhão;Municipal;2961,231
Centro do Guilherme;Municipal;
Centro Novo do Maranhão;Municipal;
Chapadinha;Municipal;2532,412
Cidelândia;Municipal;4669,252
Codó;Municipal;2707,138
Coelho Neto;Municipal;5380,916
Colinas;Municipal;4595,406
Conceição do Lago-Açu;Municipal;5387,284
Coroatá;Municipal;3387,989
Cururupu;Municipal;4623,517
Davinópolis;Municipal;4540,99
Dom Pedro;Municipal;4955,738
Duque Bacelar;Municipal;4101,381
Esperantinópolis;Municipal;3283,516
Estreito;Municipal;3894,953
Feira Nova do Maranhão;Municipal;2221,153
Fernando Falcão;Municipal;
Formosa da Serra Negra;Municipal;3638,333
Fortaleza dos Nogueiras;Municipal;4382,972
Fortuna;Municipal;5844,826
Godofredo Viana;Municipal;3040,994
Gonçalves Dias;Municipal;5786,805
Governador Archer;Municipal;
Governador Edison Lobão;Municipal;3170,788
Governador Eugênio Barros;Municipal;5333,379
Governador Luiz Rocha;Municipal;3571,806
Governador Newton Bello;Municipal;
Governador Nunes Freire;Municipal;3288,062
Graça Aranha;Municipal;
Grajaú;Municipal;4638,187
Guimarães;Municipal;3813,98
Humberto de Campos;Municipal;1806,373
Icatu;Municipal;4067,714
Igarapé do Meio;Municipal;
Igarapé Grande;Municipal;
Imperatriz;Municipal;4739,398
Itaipava do Grajaú;Municipal;
Itapecuru Mirim;Municipal;4343,905
Itinga do Maranhão;Municipal;3933,642
Jatobá;Municipal;4196,973
Jenipapo dos Vieiras;Municipal;
João Lisboa;Municipal;2091,31
Joselândia;Municipal;
Junco do Maranhão;Municipal;3142,53
Lago da Pedra;Municipal;4305,439
Lago do Junco;Municipal;
Lago Verde;Municipal;3362,962
Lagoa do Mato;Municipal;1817,667
Lago dos Rodrigues;Municipal;1214,905
Lagoa Grande do Maranhão;Municipal;4193,136
Lajeado Novo;Municipal;2228,29
Lima Campos;Municipal;5790,663
Loreto;Municipal;3378,359
Luís Domingues;Municipal;
Magalhães de Almeida;Municipal;
Maracaçumé;Municipal;
Marajá do Sena;Municipal;
Maranhãozinho;Municipal;1998,373
Mata Roma;Municipal;5748,556
Matinha;Municipal;4042,521
Matões;Municipal;4135,076
Matões do Norte;Municipal;3477,698
Milagres do Maranhão;Municipal;3094,242
Mirador;Municipal;3232,589
Miranda do Norte;Municipal;
Mirinzal;Municipal;
Monção;Municipal;2458,443
Montes Altos;Municipal;
Morros;Municipal;5213,176
Nina Rodrigues;Municipal;
Nova Colinas;Municipal;3731,419
Nova Iorque;Municipal;1227,565
Nova Olinda do Maranhão;Municipal;
Olho d'Água das Cunhãs;Municipal;1727,28
Olinda Nova do Maranhão;Municipal;
Paço do Lumiar;Municipal;2932,433
Palmeirândia;Municipal;
Paraibano;Municipal;4304,427
Parnarama;Municipal;1939,322
Passagem Franca;Municipal;
Pastos Bons;Municipal;
Paulino Neves;Municipal;
Paulo Ramos;Municipal;6067,103
Pedreiras;Municipal;4863,773
Pedro do Rosário;Municipal;
Penalva;Municipal;
Peri Mirim;Municipal;3395,197
Peritoró;Municipal;
Pindaré-Mirim;Municipal;
Pinheiro;Municipal;
Pio XII;Municipal;
Pirapemas;Municipal;3889,737
Poção de Pedras;Municipal;6613,828
Porto Franco;Municipal;
Porto Rico do Maranhão;Municipal;4457,034
Presidente Dutra;Municipal;
Presidente Juscelino;Municipal;
Presidente Médici;Municipal;2619,766
Presidente Sarney;Municipal;
Presidente Vargas;Municipal;4882,058
Primeira Cruz;Municipal;
Raposa;Municipal;4351,271
Riachão;Municipal;2729,814
Ribamar Fiquene;Municipal;2837,182
Rosário;Municipal;3462,223
Sambaíba;Municipal;3218,686
Santa Filomena do Maranhão;Municipal;5512,645
Santa Helena;Municipal;
Santa Inês;Municipal;4148,446
Santa Luzia;Municipal;3481,967
Santa Luzia do Paruá;Municipal;3900,223
Santa Quitéria do Maranhão;Municipal;
Santa Rita;Municipal;
Santana do Maranhão;Municipal;2423,431
Santo Amaro do Maranhão;Municipal;1972,544
Santo Antônio dos Lopes;Municipal;
São Benedito do Rio Preto;Municipal;
São Bento;Municipal;
São Bernardo;Municipal;
São Domingos do Azeitão;Municipal;3961,695
São Domingos do Maranhão;Municipal;
São Félix de Balsas;Municipal;1680,219
São Francisco do Brejão;Municipal;2336,722
São Francisco do Maranhão;Municipal;2513,415
São João Batista;Municipal;5994,583
São João do Carú;Municipal;
São João do Paraíso;Municipal;3076,665
São João do Soter;Municipal;
São João dos Patos;Municipal;4472,588
São José de Ribamar;Municipal;7096,535
São José dos Basílios;Municipal;
São Luís;Municipal;6337,777
São Luís Gonzaga do Maranhão;Municipal;2474,476
São Mateus do Maranhão;Municipal;3490,2
São Pedro da Água Branca;Municipal;
São Pedro dos Crentes;Municipal;3756,438
São Raimundo das Mangabeiras;Municipal;
São Raimundo do Doca Bezerra;Municipal;
São Roberto;Municipal;
São Vicente Ferrer;Municipal;3592,656
Satubinha;Municipal;
Senador Alexandre Costa;Municipal;
Senador La Rocque;Municipal;3640,215
Serrano do Maranhão;Municipal;5270,879
Sítio Novo;Municipal;3389,163
Sucupira do Norte;Municipal;1762,536
Sucupira do Riachão;Municipal;2846,223
Tasso Fragoso;Municipal;4734,447
Timbiras;Municipal;3621,039
Timon;Municipal;3833,571
Trizidela do Vale;Municipal;3781,887
Tufilândia;Municipal;
Tuntum;Municipal;
Turiaçu;Municipal;2212,399
Turilândia;Municipal;
Tutóia;Municipal;3056,729
Urbano Santos;Municipal;3876,95
Vargem Grande;Municipal;2858,663
Viana;Municipal;
Vila Nova dos Martírios;Municipal;4491,181
Vitória do Mearim;Municipal;4365,34
Vitorino Freire;Municipal;4100,553
Zé Doca;Municipal;3773,708
Acauã;Municipal;3703,619
Agricolândia;Municipal;
Água Branca;Municipal;3503,892
Alagoinha do Piauí;Municipal;2827,023
Alegrete do Piauí;Municipal;2155,545
Alto Longá;Municipal;3207,925
Altos;Municipal;2117,965
Alvorada do Gurguéia;Municipal;2812,622
Amarante;Municipal;4467,222
Angical do Piauí;Municipal;3005,58
Anísio de Abreu;Municipal;3447,931
Antônio Almeida;Municipal;4727,636
Aroazes;Municipal;1935,593
Aroeiras do Itaim;Municipal;2694,333
Arraial;Municipal;2361,078
Assunção do Piauí;Municipal;1836,459
Avelino Lopes;Municipal;1785,12
Baixa Grande do Ribeiro;Municipal;3096,782
Barra D'Alcântara;Municipal;3307,961
Barras;Municipal;2512,803
Barreiras do Piauí;Municipal;3858,963
Barro Duro;Municipal;1950,773
Batalha;Municipal;2683,655
Bela Vista do Piauí;Municipal;2438,459
Belém do Piauí;Municipal;3185,398
Beneditinos;Municipal;1844,289
Bertolínia;Municipal;3127,075
Betânia do Piauí;Municipal;3668,71
Boa Hora;Municipal;2887,669
Bocaina;Municipal;1504,15
Bom Jesus;Municipal;3464,839
Bom Princípio do Piauí;Municipal;3279,302
Bonfim do Piauí;Municipal;
Boqueirão do Piauí;Municipal;3160,146
Brasileira;Municipal;2935,817
Brejo do Piauí;Municipal;3668,093
Buriti dos Lopes;Municipal;3133,863
Buriti dos Montes;Municipal;3117,821
Cabeceiras do Piauí;Municipal;2485,548
Cajazeiras do Piauí;Municipal;2374,349
Cajueiro da Praia;Municipal;3295,078
