cod;escola;zona;esfera
11000198;COLEGIO SAPIENS - UNIDADE JARDIM DAS MANGUEIRAS;Urbana;Privada
11000244;COLEGIO DOM BOSCO;Urbana;Privada
11000252;COLEGIO SAPIENS - UNIDADE JARDIM AMERICA;Urbana;Privada
11000260;COLEGIO TIRADENTES DA POLICIA MILITAR DO ESTADO DE RONDONIA-CTPM;Urbana;Estadual
11000317;EEEFM DR JOSE OTINO DE FREITAS;Urbana;Estadual
11000325;INSTITUTO EVANGELICO DE EDUCACAO PAUL AENIS;Urbana;Privada
11000350;COLEGIO ADVENTISTA DE PORTO VELHO;Urbana;Privada
11000376;EEEF 21 DE ABRIL;Urbana;Estadual
11000384;EEEFM 4 DE JANEIRO;Urbana;Estadual
11000457;EEEFM PROFESSORA ANTONIA VIEIRA FROTA;Urbana;Estadual
11000465;EMEIEF ANTONIO AUGUSTO VASCONCELOS;Rural;Municipal
11000554;EEEFM BANDEIRANTES;Urbana;Estadual
11000597;EEEFM BELA VISTA;Urbana;Estadual
11000708;EEEFM CAP CLAUDIO MANOEL DA COSTA;Urbana;Estadual
11000848;EEEFM DOM PEDRO I;Urbana;Estadual
11000856;EEEFM PROFESSOR DANIEL NERI DA SILVA;Urbana;Estadual
11000864;EMEF DEIGMAR MORAES DE SOUZA;Rural;Municipal
11000880;CENTRO EDUCACIONAL DR GILBERTO MENDES DE AZEVEDO;Urbana;Privada
11000910;ESCOLA SANTA MARCELINA MARCELLO CANDIA;Rural;Privada
11000937;EEEFM DR OSWALDO PIANNA;Urbana;Estadual
11000970;EEEFM DUQUE DE CAXIAS;Urbana;Estadual
11001011;EMEF ERMELINDO MONTEIRO BRASIL;Rural;Municipal
11001046;EEEFM ESTUDO E TRABALHO;Urbana;Estadual
11001119;EEEFM GOV ARAUJO LIMA;Urbana;Estadual
11001135;EEEFM GOV PETRONIO BARCELOS;Urbana;Estadual
11001143;EEEFM GOV JESUS BURLAMAQUI HOSANNAH;Urbana;Estadual
11001160;EEEF HEITOR VILLA LOBOS;Urbana;Estadual
11001178;EEEF HELIO NEVES BOTELHO;Urbana;Estadual
11001186;EMEF HENRIQUE DIAS;Rural;Municipal
11001240;EEEF JANIO DA SILVA QUADROS;Urbana;Estadual
11001283;EEEFM JOHN KENNEDY;Urbana;Estadual
11001305;EEEFM JORGE TEIXEIRA DE OLIVEIRA;Urbana;Estadual
11001364;EEEFM JUSCELINO KUBITSCHEK DE OLIVEIRA;Urbana;Estadual
11001410;COLEGIO TIRADENTES DA POLICIA MILITAR CTPM VII;Urbana;Estadual
11001496;EEEFM MARCOS DE BARROS FREIRE;Urbana;Estadual
11001526;EEEF MARIA CARMOSINA PINHEIRO;Urbana;Estadual
11001550;EEEFM MARIANA;Urbana;Estadual
11001640;EEEFM MURILO BRAGA;Urbana;Estadual
11001810;EEEF GOVERNADOR PAULO NUNES LEAL;Rural;Estadual
11001844;EEEF PE MARIO CASTAGNA;Urbana;Estadual
11001887;EEEFM PRES TANCREDO DE ALMEIDA NEVES;Urbana;Estadual
11001909;EEEF PRINCESA IZABEL;Rural;Estadual
11002000;EEEF PROF ELOISA BENTES RAMOS;Urbana;Estadual
11002018;EEEFM PROF FLORA CALHEIROS COTRIN;Urbana;Estadual
11002123;EEEFM RISOLETA NEVES;Urbana;Estadual
11002255;EEEFM SAO LUIZ;Urbana;Estadual
11002301;EEEF SAO SEBASTIAO I;Urbana;Estadual
11002328;EEEF SEBASTIANA LIMA DE OLIVEIRA;Urbana;Estadual
11002468;EEEFM BARAO DO SOLIMOES;Urbana;Estadual
11002476;EEEFM GETULIO VARGAS;Urbana;Estadual
11002506;EEEFM MARECHAL CASTELO BRANCO;Urbana;Estadual
11002514;EEEFM PROF ORLANDO FREIRE;Urbana;Estadual
11002522;EEEFM PROF EDUARDO LIMA E SILVA;Urbana;Estadual
11002549;EEEFM RIO BRANCO;Urbana;Estadual
11003065;IEE CARMELA DUTRA;Urbana;Estadual
11003081;INSTITUTO LAURA VICUNA;Urbana;Privada
11003090;INSTITUTO MARIA AUXILIADORA;Urbana;Privada
11003308;EMEIEF MARECHAL RONDON;Rural;Municipal
11003324;EMEF SANTA JULIA;Rural;Municipal
11003413;EEEFM GENERAL OSORIO;Urbana;Estadual
11003812;EEEFM MARIA NAZARE DOS SANTOS;Urbana;Estadual
11037474;CENTRO DE ENSINO MINEIRO;Urbana;Privada
11037652;EMEF NOSSA SENHORA DE NAZARE;Rural;Municipal
11037903;CENTRO EDUCACIONAL MARIA DE NAZARE;Urbana;Estadual
11038063;EEEFM ULISSES GUIMARAES;Urbana;Estadual
11040629;EEEFM JAYME PEIXOTO DE ALENCAR;Urbana;Estadual
11040688;EPEFM TERRA NOVA;Urbana;Privada
11040955;INSTITUTO EDUCACIONAL SAO FRANCISCO;Urbana;Privada
11043857;COLEGIO CLASSE A;Urbana;Privada
11045809;EMEF FRANCISCO JOSE CHIQUILITO COIMBRA ERSE;Rural;Municipal
11045825;EMEF JOSE DE FREITAS;Rural;Municipal
11045922;EIEEF KAIBU;Rural;Estadual
11046660;EMEF FLOR DO CUPUACU;Rural;Municipal
11046937;EEEF JORGE VICENTE SALAZAR DOS SANTOS;Urbana;Estadual
11048450;ESCOLA MARCELO CANDIA SUBSEDE I;Urbana;Privada
11048557;COLEGIO CRISTAO;Urbana;Privada
11048573;COOPEMETA COOPERATIVA EDUCACIONAL DE RONDONIA;Urbana;Privada
11048581;EIEEFM KYOWA;Rural;Estadual
11048670;EEEFM PROFESSOR FRANCISCO DESMOREST PASSOS;Urbana;Estadual
11048972;EIEEF NYJ NYJI;Rural;Estadual
11049006;MAPLE BEAR PORTO VELHO;Urbana;Privada
11049359;INSTITUTO DE EDUCACAO INFANTIL E FUNDAMENTAL VIDA PLENA;Urbana;Privada
11049430;COLEGIO TIRADENTES DA POLICIA MILITAR II UNIDADE JACI PARANA CTPM II;Urbana;Estadual
11049502;CENTRO EDUCATIVO SEMEANDO;Urbana;Privada
11050080;COLEGIO CONCEITOS;Urbana;Privada
11050128;EIEEF PYM KEJA SIGNATY PYPYDNIPA;Rural;Estadual
11050349;EEEFM FERNANDO DE SOUZA GOMES;Rural;Estadual
11050357;ESCOLA BATISTA VIDA PLENA;Urbana;Privada
11104805;EEEFM CESAR FREITAS CASSOL;Rural;Estadual
11017988;EEEF APOLONIA ROSSI JAVARINI;Urbana;Estadual
11018089;EEEFM CARLOS DRUMOND DE ANDRADE;Urbana;Estadual
11018216;EEEFM DONA BENTA;Urbana;Estadual
11018267;EEEFM EMBURANA;Urbana;Estadual
11018720;EEEF PAU BRASIL;Urbana;Estadual
11018810;EEEFM PROF PAULO FREIRE;Urbana;Estadual
11018950;EEEFM PRESIDENTE EMILIO GARRASTAZU MEDICI;Urbana;Estadual
11046430;EMMEIEF FLORESTAN FERNANDES;Rural;Municipal
11048441;EEEF IRMA DOROTHY MAE STANG;Rural;Estadual
11009306;EEEFM FRANCISCO MIGNONE;Urbana;Estadual
11028750;EEEFM CARLOS DRUMOND DE ANDRADE;Urbana;Estadual
11029056;EEEFM JOSE ROSALES DOS SANTOS;Urbana;Estadual
